food_name,scientific_name,group,sub_group
Angelica,Angelica keiskei,Herbs and Spices,Herbs
Savoy cabbage,Brassica oleracea var. sabauda,Vegetables,Cabbages
Silver linden,Tilia argentea,Herbs and Spices,Herbs
Kiwi,Actinidia chinensis,Fruits,Tropical fruits
Allium (Onion),Allium,Vegetables,Onion-family vegetables
Garden onion,Allium cepa,Vegetables,Onion-family vegetables
Leek,Allium porrum,Vegetables,Onion-family vegetables
Garlic,Allium sativum,Herbs and Spices,Herbs
Chives,Allium schoenoprasum,Herbs and Spices,Herbs
Lemon verbena,Aloysia triphylla,Herbs and Spices,Herbs
Cashew nut,Anacardium occidentale,Nuts,Nuts
Pineapple,Ananas comosus,Fruits,Tropical fruits
Dill,Anethum graveolens,Herbs and Spices,Herbs
